i,t,m,index,women,girls,boys,men,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
7004100391005,2007,West serbia,118,1,2,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1.386294361
7004100391006,2007,West serbia,119,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1.386294361
7004100391007,2007,West serbia,120,1,2,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
7004100391008,2007,West serbia,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7004100391009,2007,West serbia,122,1,1,0,2,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1.386294361
7004100391010,2007,West serbia,123,2,0,0,2,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1.386294361
7004100391011,2007,West serbia,124,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1.098612289
7004100391012,2007,West serbia,125,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
7004100391013,2007,West serbia,126,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1.098612289
7004100391014,2007,West serbia,127,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.098612289
7005000131001,2007,South-east serbia,128,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7005000131002,2007,South-east serbia,129,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7005000131003,2007,South-east serbia,130,2,1,0,3,0,1,0,0,0,0,0,0,2,1,0,0,1,1,1.791759469
7005000131004,2007,South-east serbia,131,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7005000131005,2007,South-east serbia,132,1,3,1,1,0,1,0,2,1,0,0,0,0,0,1,1,0,0,1.791759469
7005000131006,2007,South-east serbia,133,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1.386294361
7005000131007,2007,South-east serbia,134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7005000131008,2007,South-east serbia,135,2,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1.386294361
7005000131009,2007,South-east serbia,136,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1.386294361
7005000131010,2007,South-east serbia,137,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1.386294361
7005000131011,2007,South-east serbia,138,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1.386294361
7005000131012,2007,South-east serbia,139,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1.098612289
