i,t,m,Females 00-03,Females 04-08,Females 09-13,Females 14-18,Females 19-30,Females 31-50,Females 51-99,Males 00-03,Males 04-08,Males 09-13,Males 14-18,Males 19-30,Males 31-50,Males 51-99,log HSize
1010500204049,2011-12,Tigray,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1.609437912
1010500204049,2013-14,Tigray,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1.945910149
1010500204049,2015-16,Tigray,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1.945910149
1010500204073,2011-12,Tigray,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1.098612289
1010500204073,2013-14,Tigray,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1.386294361
1010500204073,2015-16,Tigray,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1.609437912
1010500204097,2011-12,Tigray,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6931471806
1010500204097,2013-14,Tigray,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1.386294361
1010500204097,2015-16,Tigray,0,0,0,0,1,0,0,1,2,0,0,0,1,0,1.609437912
1010500204121,2011-12,Tigray,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.6931471806
1010500204121,2013-14,Tigray,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1.098612289
1010500204121,2015-16,Tigray,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1.609437912
1010500204142,2011-12,Tigray,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6931471806
1010500204142,2013-14,Tigray,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1.386294361
1010500204142,2015-16,Tigray,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1.386294361
1010500204145,2011-12,Tigray,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6931471806
1010500204145,2013-14,Tigray,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1.386294361
1010500204145,2015-16,Tigray,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1.609437912
1010500204169,2011-12,Tigray,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.6931471806
1010500204169,2013-14,Tigray,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1.098612289
1010500204169,2015-16,Tigray,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1.098612289
1010500204182,2011-12,Tigray,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1010500204193,2011-12,Tigray,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1.609437912
1010500204193,2013-14,Tigray,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1.609437912
1010500204193,2015-16,Tigray,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1.609437912
1010500204217,2011-12,Tigray,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1.386294361
1010500204217,2013-14,Tigray,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1.791759469
1010500204217,2015-16,Tigray,1,0,2,0,1,0,0,0,1,0,0,0,1,0,1.791759469
010105088800712018,2018-19,Tigray,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1.386294361
010105088800712045,2018-19,Tigray,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1.609437912
010105088800712049,2018-19,Tigray,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1.791759469
010105088800712050,2018-19,Tigray,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1.098612289
010105088800712054,2018-19,Tigray,1,0,1,0,0,1,1,0,1,1,2,1,1,0,2.302585093
010105088800712061,2018-19,Tigray,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1.791759469
010105088800712072,2018-19,Tigray,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1.098612289
010105088800712074,2018-19,Tigray,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1.098612289
010105088800712079,2018-19,Tigray,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1.098612289
010105088800712096,2018-19,Tigray,0,0,2,1,1,1,0,0,1,0,0,1,0,0,1.945910149
010105088800712112,2018-19,Tigray,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1.386294361
010105088800712121,2018-19,Tigray,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.6931471806
010105088802215009,2018-19,Tigray,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1.791759469
010105088802215025,2018-19,Tigray,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1.386294361
010105088802215055,2018-19,Tigray,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6931471806
010105088802215070,2018-19,Tigray,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1.791759469
010105088802215086,2018-19,Tigray,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1.098612289
010105088802215091,2018-19,Tigray,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
010105088802215104,2018-19,Tigray,1,1,0,0,0,1,0,0,0,0,2,0,1,0,1.791759469
010105088802215120,2018-19,Tigray,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1.386294361
010105088802215146,2018-19,Tigray,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1.386294361
010105088802215162,2018-19,Tigray,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.6931471806
010105088802215167,2018-19,Tigray,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1.791759469
1010600402002,2011-12,Tigray,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1.098612289
1010600402002,2013-14,Tigray,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1.098612289
1010600402002,2015-16,Tigray,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.6931471806
1010600402014,2011-12,Tigray,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1010600402014,2013-14,Tigray,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1010600402014,2015-16,Tigray,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1010600402021,2011-12,Tigray,0,0,1,0,0,1,0,0,2,0,2,0,1,0,1.945910149
1010600402021,2013-14,Tigray,1,0,1,0,0,1,0,0,2,0,2,0,1,0,2.079441542
1010600402021,2015-16,Tigray,0,0,1,1,0,1,0,0,1,1,1,1,1,0,2.079441542
1010600402039,2011-12,Tigray,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1.609437912
